Season Number,Startup Name,Industry_Cleaned,Pitchers City,Pitchers State,Pitchers Average Age,Gross Margin,Net Margin,Yearly Revenue_M_INR,Monthly Sales_M_INR,Original Ask Amount_M_INR,Valuation Requested_M_INR,Total Deal Amount_M_INR,Deal Valuation_M_INR,Total Deal Equity,Total Deal Debt_M_INR,Royalty Percentage,Number of Sharks in Deal,Deal_Success_Flag,Received Offer,Accepted Offer,Number of Presenters,Male Presenters,Female Presenters,Couple Presenters,Founder_Type,Namita Investment Amount_M_INR,Vineeta Investment Amount_M_INR,Anupam Investment Amount_M_INR,Aman Investment Amount_M_INR,Peyush Investment Amount_M_INR,Ritesh Investment Amount_M_INR,Amit Investment Amount_M_INR,Guest Investment Amount_M_INR
1,BluePineFoods,F&B,Delhi,Delhi,Middle,,,9.5,0.8,5.0,100.0,7.5,46.9,16.0,0.0,,3.0,1,1,1.0,3,2.0,1.0,0,Mixed Team,0.0,2.5,0.0,2.5,0.0,0.0,0.0,2.5
1,BoozScooters,Vehicles/Electrical Vehicles,Ahmedabad,Gujarat,Young,,,0.4,0.04,4.0,26.7,4.0,8.0,50.0,0.0,,2.0,1,1,1.0,1,1.0,,0,Male Team,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
1,HeartUpMySleeves,Beauty/Fashion,Delhi,Delhi,Young,,,0.0,0.2,2.5,25.0,2.5,8.3,30.0,0.0,,2.0,1,1,1.0,1,,1.0,0,Female Team,0.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0
1,TagzFoods,F&B,Bangalore,Karnataka,Middle,48.0,,70.0,0.0,7.0,700.0,7.0,254.5,2.75,0.0,,1.0,1,1,1.0,2,2.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
1,HeadAndHeart,Education/Kids,Patiala,Punjab,Middle,,,3.0,0.0,5.0,100.0,0.0,0.0,,0.0,,,0,0,,4,1.0,3.0,1,Mixed Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Agritourism,Other,Baramati,Maharashtra,Middle,,,7.9,0.0,5.0,100.0,0.0,0.0,,0.0,,,0,0,,2,1.0,1.0,1,Mixed Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,qZenseLabs,F&B,"Delhi,Mohali","Delhi,Punjab",Middle,,,2.5,1.5,10.0,4000.0,0.0,0.0,,0.0,,,0,1,0.0,2,,2.0,0,Female Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Peeschute,Beauty/Fashion,Jalna,Maharashtra,Young,,,10.0,0.0,7.5,187.5,7.5,125.0,6.0,0.0,,1.0,1,1,1.0,1,1.0,,0,Male Team,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0
1,NOCD,F&B,Bangalore,Karnataka,Middle,,,0.0,2.0,5.0,250.0,2.0,13.3,15.0,3.0,,1.0,1,1,1.0,2,2.0,,0,Male Team,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1,CosIQ,Beauty/Fashion,Delhi,Delhi,Middle,75.0,20.0,0.0,0.4,5.0,66.7,5.0,20.0,25.0,0.0,,2.0,1,1,1.0,2,1.0,1.0,1,Mixed Team,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0
1,JhaJiAchaar,F&B,Darbhanga,Bihar,Old,18.0,,0.0,0.5,5.0,50.0,5.66,100.7,5.62,0.0,,2.0,1,1,1.0,2,,2.0,0,Female Team,2.83,2.83,0.0,0.0,0.0,0.0,0.0,0.0
1,Bummer,Beauty/Fashion,Ahmedabad,Gujarat,Young,70.0,,3.6,1.5,7.5,187.5,7.5,100.0,7.5,0.0,,2.0,1,1,1.0,1,1.0,,0,Male Team,3.75,0.0,0.0,3.75,0.0,0.0,0.0,0.0
1,RevampMoto,Vehicles/Electrical Vehicles,Nashik,Maharashtra,Young,,,0.0,0.001,10.0,1000.0,10.0,666.7,1.5,0.0,,2.0,1,1,1.0,3,3.0,,0,Male Team,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
1,HungryHead,F&B,Mumbai,Maharashtra,Middle,,,0.0,0.55,5.0,100.0,0.0,0.0,,0.0,,,0,0,,2,2.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ShrawaniEngineers,Beauty/Fashion,Nagpur,Maharashtra,Middle,,,5.0,0.0,2.0,20.0,0.0,0.0,,0.0,,,0,0,,2,1.0,1.0,1,Mixed Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,SkippiIcePops,F&B,Hyderabad,Telangana,Middle,,,0.0,0.75,4.5,90.0,10.0,66.7,15.0,0.0,,5.0,1,1,1.0,2,1.0,1.0,1,Mixed Team,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0
1,Menstrupedia,Education/Kids,Ahmedabad,Gujarat,Middle,27.0,,11.5,0.0,5.0,50.0,5.0,25.0,20.0,0.0,,1.0,1,1,1.0,2,1.0,1.0,1,Mixed Team,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Hecoll,Beauty/Fashion,Hyderabad,Telangana,Middle,,,10.7,0.0,10.0,1000.0,0.0,0.0,,0.0,,,0,0,,1,,1.0,0,Female Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,RaisingSuperstars,Education/Kids,Gurgaon,Haryana,Middle,,,130.0,0.0,10.0,500.0,10.0,250.0,4.0,0.0,,2.0,1,1,1.0,2,1.0,1.0,1,Mixed Team,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
1,Torch-it,Education/Kids,Ahmedabad,Gujarat,Middle,,,26.0,0.1,7.5,750.0,0.0,0.0,,0.0,,,0,1,0.0,1,1.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Kavach,Education/Kids,Gurgaon,Haryana,Young,,,0.0,0.0,0.5,5.0,0.5,5.0,10.0,0.0,,2.0,1,1,1.0,2,1.0,1.0,0,Mixed Team,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
1,LaKheerDeli,F&B,Pune,Maharashtra,Middle,,,0.0,0.6,5.0,66.7,0.0,0.0,,0.0,,,0,1,0.0,3,1.0,2.0,0,Mixed Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,BeyondSnack,F&B,Thiruvananthapuram,Kerala,Middle,51.0,,6.0,2.06,5.0,200.0,5.0,200.0,2.5,0.0,,2.0,1,1,1.0,1,1.0,,0,Male Team,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5
1,VivalyfInnovations,Medical/Health,Hyderabad,Telangana,Young,,,0.0,0.0,5.6,74.7,5.6,16.8,33.33,0.0,,2.0,1,1,1.0,2,1.0,1.0,0,Mixed Team,0.0,0.0,2.8,0.0,2.8,0.0,0.0,0.0
1,MotionBreeze,Vehicles/Electrical Vehicles,Vadodara,Gujarat,Middle,,,0.0,0.0,3.0,100.0,3.0,50.0,6.0,0.0,,1.0,1,1,1.0,4,4.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1,Altor,Manufacturing,Kolkata,West Bengal,Young,,,0.0,0.0,5.0,100.0,5.0,71.4,7.0,0.0,,2.0,1,1,1.0,4,4.0,,0,Male Team,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0
1,Ariro,Manufacturing,Chennai,Tamil Nadu,Young,50.0,,30.0,2.5,5.0,200.0,5.0,50.0,10.0,0.0,,2.0,1,1,1.0,2,1.0,1.0,1,Mixed Team,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0
1,KabiraHandmad,F&B,Jaipur,Rajasthan,Middle,3.0,1.0,0.0,16.0,10.0,200.0,0.0,0.0,,0.0,,,0,1,0.0,2,1.0,1.0,1,Mixed Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Nuutjob,Beauty/Fashion,Ahmedabad,Gujarat,Young,70.0,,0.0,0.0002,2.5,50.0,2.5,12.5,20.0,0.0,,3.0,1,1,1.0,2,,2.0,0,Female Team,0.833,0.0,0.0,0.833,0.833,0.0,0.0,0.0
1,Meatyour,F&B,Pune,Maharashtra,Middle,30.0,,13.0,0.27999999999999997,3.0,60.0,3.0,15.0,20.0,0.0,,3.0,1,1,1.0,3,3.0,,0,Male Team,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1,EventBeep,Education/Kids,Pune,Maharashtra,Young,,,12.0,0.0,3.0,150.0,3.0,100.0,3.0,0.0,,3.0,1,1,1.0,3,2.0,1.0,0,Mixed Team,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1,Gopal's56,F&B,Delhi,Delhi,Middle,21.0,,8.0,3.3,3000.0,12000.0,0.0,0.0,,0.0,,,0,0,,1,1.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ARRCOATSurfaceTextures,Manufacturing,Delhi,Delhi,Middle,,20.0,0.0,0.6,5.0,100.0,5.0,33.3,15.0,0.0,,1.0,1,1,1.0,3,3.0,,0,Male Team,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
1,Farda,Beauty/Fashion,Nagpur,Maharashtra,Young,115.0,,0.0,0.032,3.0,30.0,3.0,15.0,20.0,0.0,,2.0,1,1,1.0,2,1.0,1.0,0,Mixed Team,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0
